,comment
2200,You have the most soothing voice...
2201,Nice
2202,You should have told them subscribe AND click the little bell because I think that bypasses youtube's algo and gives them update for every video :)
2203,"I study mathematics, physics and architecture. By definition this man is an ORACLE in the strict meaning of the word. 

With all honesty I never imagined someone explaining complex topics with the dexterity this man has. He is literally an institution and an outstanding teacher. 

The computer graphics and the illustrations are simply perplexing. This guy never evades complexity. He never evades complex arguments. He illustrate the complexity and dive into the exhaustive explanation of the details. 

It's extremely rare to see a professor and a dedicated user to put a lot of effort explaining, animating and describing mathematics the way he does."
2204,brilliant video much appreciated !
2205,Best tutorial i have on neural networks ever. I can see the effort you put in.
2206,seriously man your are just  awesome
2207,This 9 can machine recogniz?????😶😕
2208,The voice of the girl is so lazy...
2209,this was really good work !
2210,"Written some notes from the video to read quickly. Hope it helps somebody. 

l Neural Networks can recognize hand written digits, letters, words ( in general, tokens )
 l What are Neurons?
  ○ Something that holds a number [ 0, 1]
  ○ The higher the number, the higher the ""activation"" rate
 l Consider a 28*28 table in which each unit is represented by a value between 0 to 1 ( activation number )
  ○ Let us divide each row into a ""layer"", such that, if we were to divide all the layers, the last layer would contain 10 ""cells"" ( units ).
  ○ Values are passed from the previous cells to the last layer ( 10 unit layer ), again, between 0 and 1. The higher or closer the value is to 1, the more probability exists that the image scanned represents that unit cell.
    So, a unit cell that contains the highest value is indication that the index of the unit cell is the value of the image scanned.
  ○ 16 cells in the second and third last cells are arbitrary.
  ○ Each cell is linked ( causes activation ) to some ( not all ) other cells in the next layer which further cause more activation.
  ○ Each 'cell' corresponds to some sort of identification about how much a certain region 'lights up', and then sends a value to another node which reacts based on the received value. 
  ○ To find whether a certain cell with light us, like each cell be represented by 'a Cell_Number ', and let each cell be 'assigned' a certain weight 'w'. The sum of all the products of each cells 'a' and 'w' will be:  
   w1*a1 + w2*a2 + w3*a3 + w4*a4 + …  + wn*an 
  ○ Let these weighted sums represent some 'grid cell'. Each cell is either 'on' or 'off' with respect to being positive or negative. In this case, 'green' represents on, and 'red' represents off.
  ○ Let us concern ourselves to a certain region where the cells are mostly on. Ergo, we would be basically summing up the weightages of those grid cells.
  ○ Then, if you suppose a region where there are brighter grid cells in some part which are surrounded by dark grid cells, then that area is the main edge we're looking for.
  ○ Of course the sum of weightages gives us very different value. In order to 'squish' that number line into 0 and 1 , we use the function:
   Sigma(x) = 1/(1 + e^-x)
  Which is a sigmoid function or a Logistic Curve. Our equation now becomes:
   Sigmoid(w1*a1 + w2*a2 + w3*a3 + w4*a4 + …  + wn*an)
  ○ But what if you don't always want to light up when it's a positive value, and rather want it to light up when the weighted sum of that grid cell full fills some condition, such as > 10. This is called 'Bias For Inactivity'. Using this example, our equation becomes,
   Sigmoid(w1*a1 + w2*a2 + w3*a3 + w4*a4 + …  + wn*an  - 10)
   Here, 10 is the ""bias"".
  ○ The possibilities of the different knobs and dials open us to the term of ""Learning"", which just means to find the correct relation of values which perform the expected behavior. 
  ○ The complete expression above can be adjusted in the formula:
   a(1) = Sigma(W*a(0) + b )
   ( (1) and (0) are superscript here )

   Where W = k*n matrix whose elements are weights corresponding to a cell.
   a(0) = n*1 matrix whose elements are the 'a' of each cell.
   b= n*1 matrix whose elements are the biases of each cell 
  ○ NOTE: Sigmoid function is not used very often now, instead it is replaced by ReLU ( Rectified Linear Unity ), which is defined as:
ReLU(a) = max(0, a), a linear function where f(a) = a for a>= 0, which for a < 0, f(a) = 0."
2211,Anyone else have this this pop up on recommended?
2212,"нихуя не понятно, но очень интересно"
2213,"You sir, have a gift for explaining the complex in a way people with minimal background can understand.  Thank you for this video!"
2214,go go fizika
2215,"I've watched now some of your videos and I would like to compliment you on the high quality of them, not only the graphical one, which is a technical quality, but also on the way the explanations are build, which is a ""not so obvious"" quality to improve and one very hard to find around even in videos (or texts) very well produced. It's nice to find this kind of good work around!"
2216,"Dude, you re the best. Your videos have best animations and simplicity. Thanks for the hard work. I am not working right now but i ll donate when i get a job. Best of luck on your next videos."
2217,What about CNNs and RNNs...?
2218,I wish I was smart enough to understand this because this sounds really interesting.
2219,This is probably the best explanation I've seen and even more in-depth than the CGP Grey video
2220,3Blue1Brown are you an artificial intelligence?
2221,"So I made a network with a single layer (784 inputs neurons and 10 outputs neurons), then I produced an image to see correlation between inputs neurons and pixels, here whats it looks like: https://i.imgur.com/2VHakdV.png"
2222,"This is the best video on machine learning, thank you for breaking down the complexity in this understandable format. Great job."
2223,"very good effort to share, obviously seruious work."
2224,I win
2225,if your a coder then you will apprentice the power of brain...a lot
2226,Finally got it :D
2227,"I'm not a native English speaker, what does the bias-term mean, bias as an offset, or bias as the prejudgment? Or both?"
2228,Bro your IQ?
2229,"sigmoid limits the output from 0-1, while relU only limits the low end. It would ""seem"", based on my ignorance, that we would also want to limit the positive. Why is this wrong?"
2230,but how on earth do you even learn  to live?
2231,You are excellent. We need more videos on deep learning. Please.
2232,So what you’re telling me is that those “Are You A Robot?” captchas are useless now
2233,Maybe it's not a great idea trying to learn english watching these videos
2234,Love how there are differently colored pis. We love inclusion
2235,This would make one sick looking polyhedron
2236,Yuppi! This weekend my homework for uni is watching 3blue1brown videos.
2237,Please do more ML algorithm videos! I'd recommend an overview of Random Forests for regression.
2238,"This is the most didactic, best explanation I’ve ever seen on YouTube, that makes a series of complex concepts easy to understand. Congrats, I’m a new fan of this channel :-)"
2239,Spectacularly explained :-D
2240,I LOVE YOU.
2241,What?
2242,Great irony on 16:50 :-)
2243,please help me. can you explain about Hidden markov models ? i really need that :(((
2244,Please do more !! 😊
2245,A little bit complicated but extremely satisfying - subscribed!
2246,"ReLU(x) > 1 if x > 1. Please explain, how to deal with that?"
2247,"thanks a lot this video help me so much for my TPE (group work in france which is an examen about the subject you want, that's cool but hard...)"
2248,Please create video to explain Time series analysis specially aRCH and gaRCH models
2249,Excellent Content! Thank you!
2250,"15:08 Hell yeah, indeed Grant knows the BEST programming language, especially for adult things such as Neural Nets. Use Python folks."
2251,Could you provide us please which tool did you use to create this animated video?
2252,*360 p*   _squad_
2253,I love all the pi's when they start thinking. :D
2254,"thanks
now i know the basic knowledge of machine learning"
2255,Best neural network + machine learning explanation ever.
2256,my teacher couldn't recognize my 3.
2257,Great video! Thanks!
2258,I usually muting audio and setting replay mode on your videos. I like the animations. I don't understand what you are saying so it's difficult for me to understand all these SMART words half of which i don't know.
2259,FINALLY A GOOD VIDEO!!!
2260,wow
2261,This is great! I have been trying to understand the stuff with no luck until I found you
2262,"this is the least confusing neural network video i've watched, but i still don't understand."
2263,"Thank you!!!. Easy to follow, clear and well-structured beginner's class."
2264,Lol this video is completely wrong in every way
2265,"If you wanted to speed the process of recognition up to avoid having to get precise matches each time you could add in a diffuse setting. So if a pattern is only 10% dissimilar from a batch of patterns you've already seen then it takes it for granted that it is 'probably' also nine.

This doesn't always work but nature has a solution.

If critical failures of recognition can cause ultimate death in an organism it makes sense to reproduce so that you have many chances to be incorrect. Instead of putting all your eggs in one basket."
2266,"Left weight (strong).
Right stop.
Left weight (short, strong).
Right stop.
Left again.

So that's three consecutive strokes left, and similar curves on the right. Seems like three to me.

If it walks 'like' a duck."
2267,so is this how biometric scanning works... or am i totally off?
2268,this is the best tutorial that i've ever watched on youtube. thank you so much for the tutorial
2269,Best channel on youtube
2270,Would you allow me to reupload ur videos with a french voice for french students to benefit from it ?
2271,Thank you
2272,"Great explanation, thanks a lot"
2273,Damn built a neural network software just from watching these four videos
2274,还是没有看懂为什么把那一圈的像素权重变为负值会使权重变大？
2275,"Thank you, you explain it in such a amazing visual. Btw what is the software you use to make it?"
2276,When your brain is smarter than you
2277,Univs should pay you for replacing their crappy courses.
2278,This all seems very primitive
2279,"Amazing video, thank you!"
2280,Thank you so much for this amazing video
2281,"Very effective way to start a very random and complex topic with an example.

thanks very much. I learned alot"
2282,now I wish I watched this earlier when it could help me develop my topic of AI with Linear Algebra since AI uses neural networks.
2283,Man you are god
2284,teaching assimilations through presentation question
2285,love the explaination
2286,This is some awesome stuff. Great visualization for ease in  understanding.
2287,"Thank you Korean subtitle your my savior
I'm a really beginner and my professor gave us projects with no base, no explanation your my savior.....I'm serious"
2288,My dry erase board is erasing faster than I can write. Fml
2289,Wow.
2290,These visuals are great. Thanks for making it very easy to understand neural networks.
2291,I ordered Pizza with code beacuse I am a lazzy peace of shit
2292,"Sigmoid(Input value X weight + bias)
This is the value of the first hidden layer. But if we use that formule , all neuron in first hidden layer will be same output am I right?  Are we changing all weight value for each hidden neuron?"
2293,"I've learned more in 16'31"" than 2 hours of lecture"
2294,Sir do you have any Course on udemy or any related platform
2295,Well Explained.
2296,这样子的视频使用什么软件做的
2297,感谢字幕
2298,I DO LOVE YOU SO MUCH!
2299,"youtube algo, take notes"
2300,this makes no sense
2301,The problem is not that you cannot control the AI but you don't really know how it's doing what its doing!!
2302,AI god will surpass human brain in just 4 years. Welcome to the world of equality based on utility...
2303,Korean subtitle is stop at 11min but I try to understand English ^^
2304,"Thanks. After watching this, I'm now a back-propagation expert working as a quantitative analyst for two sigmas and making millions."
2305,you are amazing
2306,We humans are a jellyfish of nerve cell tendrils that evolved a hard calcium shell of bones.
2307,good job
2308,"This is really inside diving on Neural Network. I highly appreciate the content, graphics or animation to use in explanation of basic and detail of neural network....specially with example....i think everything is very well organize..all the best and keep posting such neat and great videos...:)"
2309,"Well, the shape recognition SHOULD come as a result of coming up with an 11th output: None Of The Above."
2310,I have been recommending this video everytime after I've explained neural nets to someone.🙏
2311,"Thank you for the brilliant and extremely useful series. By the way, somebody must have told you before, but if not - your voice is uncannily similar to that of Neil Gaiman (author). I have been listening to one of his audiobooks recently (he reads some of his own books for audio versions) the very day I started watching your series and I had to spend some time googling to make sure he did not do the voice over for this series (not sure why he would do a voice over for video series on Deep Learning, but hey, stranger things have happened in the world - I found actor Russel Crow doing voice over for a video on cricket - it's a long story - Australia-cricket-cousins (Martin and Jeff) connections, but you get my point). As I said, if you are not already cognizant of the topic, just for fun, find a sample of Gaiman's reading on You Tube and let me know what you think yourself :) Thanks again for the superb series. Would wait for more interesting topics in future."
2312,What is biological equivlant of sigmoid function
2313,This is one of the best explanations I have seen
2314,I hold a degree in computer science from University of Waterloo. I took the AI course in fourth year and I learned a good deal about neural networks but I never could develop an intuition about what all those perceptions might be doing... This video fills in the gaps and re contextualizes a lot of things I knew and a bunch more things that I thought I knew...
2315,I need help... what does bias mean?
2316,"Thanks a lot for the explanation! It’s surprisingly hard to find a good video on youtube or explanation elsewhere on the web about neural networks. Your video has thorough yet easily comprehensible explanation, accompanied with clear voice and english, plus REALLY good animation to top it off. You cover how artificial neural networks work compared to biological neural network to the terms such as neurons, weights,  biases, activation, learning. I didn’t skip through that 19minutes. AWESOME! Thanks again!"
2317,"But, can this be used to prove that the earth is flat?




(Sarcasm mode is now disengaged)"
2318,but is the bias like a threshold you set. also why use RELu if it doesnt give u an output between 0 and 1?
2319,more cs videos pls!
2320,Sr i am a student of 11th class from india and is anable to understand this level of knowledge so can you help by preferring me those videos through which i can strong my basics
2321,"Isn't sigmoid justified by neural network be a big complex logistic regression model?
How ReLU can model a probability if it goes to infinity when its input grows?"
2322,"Really love this video, thanks man :)"
2323,"So are the layers determined by human concepts and require human feedback to train each individual layer?  
In this regard, would the AI of deepmind, especially alphago zero use only 1 layer as it is mastering the game without human knowledge?"
2324,Love your closing note...
2325,Brilliant introduction thanks
2326,ok so... if i get_gud at linear algebra... i can like. make my own neural networks to play games for me?
2327,Very Hell
2328,you're amazing
2329,"Too much math for a wrong dedication.If anyone cares much enough to ask, I can explain why. Otherwise I don't want to waste time."
2330,"Great video, really helped!"
2331,This is expert ‘layman’ explanation of NNs. This is the only explanation that I didn’t tune out on.
2332,Pretty amazing huh?
2333,Machine learning = super-big-computationally-heavy-multi-dimensional-monster function ~ a dumb brain
2334,"wait, wait, wait, wait a minute... So... Why would everyone have to know about machine learning? ""Unless you lived under a rock..."" Easy with using your ass instead of using your brain, a murican boi..."
2335,Thankyou so much sir. Thank you.
2336,Очень круто!!! Спасибо!
2337,Vsauce - Mind field season 3 episode 3 https://www.youtube.com/watch?v=rA5qnZUXcqo
2338,Plz bring more videos on machine learning
2339,I lost in the middle.
2340,Very nice video but the faint BGM almost makes me think I had auditory hallucination. Please either remove that BGM or turn it up.
2341,nice
2342,still a mystery to me
2343,"The Sigmoid is not about squishification.

It's what introduces non-linearity. The RELU (Rectified Linear Unit or max{x, 0}) is another perfectly usable activation function but it does not squishify into [1, 0]."
2344,"The Sigmoid function is essential to this!

Take it away and the Network can only compute linear functions!

Just in case you needed to justify its use, though many different non-linear functions will do."
2345,I'm still confused...whether to learn about Neural Networks or keep appreciating your video editing/making skills throughout the video....
2346,thanks for the amazing video as a novice especially to this specific topic
2347,"Pure gold. Thanks to all the contributors of this series, the neurons of my brain are starting to light up."
2348,thanks indeed!
2349,So the first layer is like a filter ?
2350,"We found this very helpful, thanks!"
2351,I love you
2352,"A note on the analogy to biological neurons. The thing is although their “inputs” and “weights” are indeed some arbitrary voltages, the output voltage on axon - the “action potential” - is always the same, “binary” if you like, not depending of the inputs which caused it to fire. Furthermore, there is some state carried on, and overly excited neurons may fire multiple times in sequence, comprising some sort of time-coding. The point is that both sigmoid and ReLU are still quite rough approximations when it comes to comparing the models to the biological thing.

And there is more complications, like the dependency of the voltage propagation delays on the proximity of the an individual input synapse to the neuron soma on the dendritic tree, neuron specializations (like neurons with two axons), synaptic characteristics variance across different neurotransmitters in use etc.

The bottom line is: it should probably made clear that the math shown does NOT model the biological neural networks but borrows some basic principles."
2353,The Korean subtitle is cutted after 10 min in this video. I hope yourselves modify it to watch in Korean. Thanks always!
2354,"And why is it one way from left 2 right, for example should one lill circle not be able to forward messages back n fort"
2355,"Pitty that it doesnt feel like A.I got a soul, A.I is more or less just an Generic<T>  or Generic<A> Algo Bot"
2356,I need the code so I can copy paste it
2357,Can anyone explain me the activation meaning in neural networks please.
2358,"I watched this video 3 times from start to end occasionally rewinding to really understand everything. It was pretty tough for me but I'm so glad I got it in the end! Thank you so much, I really appreciate your work, it helped me A LOT!"
2359,"Finally a simple and clear explanation of the operation of this ""black box that everyone does not know how it works"". :)"
2360,Our brain will prune unnecessary information overtime as we improve our number identification skills. So what was necessary early on in identifying numbers will be removed from the process as more successful identification skills emerge.
2361,"YEAH, Object permanence..."
2362,it`s a good video
2363,"This video series helped me win my regional science fair. You're a gift from the gods, 3Blue1Brown"
2364,15:15 Whats that language even?
2365,"I  think I can solve this in much easier way ,, when the pixels fire's up ,, compare the data to perviously inputted data...  Say that you wrote something  ,, so you compare the pattern to all parents you already have inputted (1-9)  if it's similar to your  given pattern 7 the then the computer Will say it's 7  ... Simple as that I guess"
2366,牛B！这波学到了，血赚不亏，大神果然吊打人工智能界的一些江湖郎中。
2367,"14:11 you could actually say that result matrix has ""k"" rows =) just a tip"
2368,"Awesome!!! 😍😍😍😍
Finally neural networks made sense"
2369,"Amazing video, thank you! 
I was wondering, do you have a video where you explain in detail the backward step with the detail of the optimization of differentiation made for trees ?"
2370,"Great video but you just threw off more than 10% of the men watching this when you showed a pixel pattern with green and red pixels. Don't use red and green please, especially to differentiate things."
2371,"Miss this kind of world since married to non ""scientifical"" wife, but I am still interested and delving into this kind of things ever since plunged into AISB. I wonder if you have the application for Musical Intelligence. Thanks for bumping into your video by accident which ""probabilitically"" not."
2372,"man!!! If only I would have been taught like that my whole life!!! 
Why the fuck are we using blacboards in 2018!!!!!"
2373,"한국어로 봐도 뭔소린지 모르겠네요
한국어 번역도 너무 어려워서 중간에 포기하신듯 ㅠㅠ"
2374,呃，这些不是一上大学就会讲的东西么...这都听起来有困难的人，压根没上过大学吧？
2375,"Now you can know why ""google captcha""  really works for."
2376,Really incredible dude. You literally worked on these animations to make us understand the concepts easily. Quite a tough job to pull out. Impressive effort and explanation skills which made me easy to grasp the concepts and made me interesting to think towards artificial neural networks. Thanks !
2377,"I'm having trouble determining a good starting point for initial weights and biases. I know they're random, but are there any general tips/ rules I should consider when randomising?"
2378,"It's 6 AM
And yes i didnt sleep yet."
2379,this is very informative. thank you  thank you thank you
2380,Can there be a better video! Thanks a bunch!!
2381,"Probably a very dumb question but... If you have the functions as they are, isn't it simpler to compute their derivatives and like solve a system to find out its minimum? I know it sounds computationally expensive, but computing gradients for all those values isn't so either? Thanks"
2382,"*First 30 seconds of the video*
_My brain is already wandering off so deep_"
2383,Hmmm............. is it possible to crack the weird antibot letters on login areas of sites with this if i make it not just numbers but letters too?
2384,thanks sir
2385,gj
2386,Awesome explanation.Can you please suggest me how can I use deep learning techniques for hyperspectral image classification where we have to learn both spectral and spatial features.
2387,thanks Master!
2388,Really good video and excellent visualisations
2389,OMG You guys just solved my year long quest of trying to understand this deep learning shenanigans. Thank you so much.
2390,"Our teaching assistant at a graduate level studies recommended us to watch these videos :)

Thank you very much!"
2391,"Nice video. But it is a bit confusing that you use n as dimension for both a and b, because bias could have different dimension than input, same as weight. 14:58"
2392,thank you..
2393,Does anybody any suggestion on good introductory books on the topic? Something from a programming perspective perhaps
2394,"3(blue).1(brown)4(in all)
3.14

K I'm not funny"
2395,Thanks from Pakistan.
2396,"that ""exactly"" voice in the end of the video scare the fuck out of me"
2397,"Can you please make some videos on statistics for machine learning, please? You have a natural talent to teach these things.. thank you so much"
2398,Wonderful tutorial! I feel like I have a much better understanding on Deep Learning now.
2399,"Please make videos about radial basis functions and Self organizing maps , basically content related to unsupervised learning.
Your channel is really inspiring and so helpful. Me and my co-students have already declared that this channel is better than the entire degree course that we have for engineering here in India. A genuine lot of Thanks."
2400,"Great explanation, but would your example network actually be a functioning one if it were to perform the task of digit recognition?"
2401,Wow! I'm really impressed by this video! Well Done!
2402,Please also do one on PCA
2403,Thank you.
2404,please do a video to introduce the entire team responsible for this channel. super stuff
2405,"otra forma también se le llama reconocimiento de patrones, utilizando matlab XD puedes determinar gradientes y aculturaciones y maso-menos identificar los bordes."
2406,"Could we say that mathematicians have more layers of neurons in the brain, with fewer neurons per layer?

Thus we can understand higher levels of abstract concepts, but pay less attention to details in everyday life? (Absent-minded professor stereotype lol)"
2407,"Very very good video, thank you."
2408,This channel is a living embodiment of the Pareto principle (80-20 rule) where a small portion of the knowledge space helps you understand a *large* portion of the problem space!
2409,"I wish there was a way to make *exact* clones of this guy and post them to each and every school, college and educational institute, so that we could all benefit from his presence. Oh wait.... Youtube *almost* makes this possible... 

You are the type of teacher that all of us would *LOVE* to have as a role model! Hats off to you and the way you break down the most arcane stuff into understandable stuff. You are a GOD of education!"
2410,Something is seriously wrong with many people's lives in today's world. Maybe it's competition or jealousy or whatever.... Else why would they not think twice before disliking this video?
2411,"Awesome! Explained as simple as possible. If you think about the people who have combined their intelligence to form the concept how to enable computers processors to act like neurons, would you still believe that the human brain came all by itself without a super intelligent designer??? :D"
2412,"You've just given me a billion times more knowledge and understanding about ML & AI in 18 minutes, than my university did in 4 months of ""Artificial Intelligence"". Thank you.

Also, I'm stealing ""squishification""."
2413,could anyone land me a neural network layer to get what this dude is taking about ?
2414,"the most interesting thing it is that the brain uses the shortest route to to the neocortex, this in order to give information to take a decition, but that path is conditioned to a emotional state, such means that, I have automatized a process but if I am depressed I will take another route to bring the information associated with that specifically emotion."
2415,Weaving art!
2416,"you chose activation based on ""grey scale:"" how do you choose value for wieght I mean how can the computer asign the values for weights?"
2417,bababa
2418,Who the fook is Sigmoid?
2419,"Please upload videos about,  probability and stochastic process"
2420,"Ciao, a parte il video interessantissimo, posso chiederti che programmi usi per creare le animazioni?"
2421,my brain hurts
2422,9:32 R.I.P. colorblind people
2423,Thanks sir....Loved your explanation......Best ever introduction to neural networks.....
2424,Really bad vocal fry makes the woman hard to listen to.
2425,"please, how do you make animation?"
2426,"which program did you use?
what is it name?"
2427,It was too complicated for poorly functioning neural networks of 746 people.
2428,"I also have the same passion to study AI like you. I appreciate what you've learned in this video!
Thank you!"
2429,"This is probably the best video that I've seen on the topic of basic artificial neural networks (ANNs). Most of the videos that I've seen on the topic are either overly complex or leave out important information about ANNs, so you're forced to watch many videos on the subject to understand the basics. But this video gives you all the basics without making you feel like there's a lot of information left out. Granted that there's a lot left to learn, but I'm sure chapter two will get into some of that."
2430,Seriously one of the best learning series I have ever watched -- particularly helpful for visual learners!
2431,"Man, great videos! Your explanation rocks!"
2432,"Hi guys, i could not figure it out how bias work, can someone explain me please?"
2433,really high quality video and the narration was awesome...subscribed!!!!!!!
2434,Very sweet explanation - thank you very much
2435,"Good explanation ,please can you tell me  how to programming CNN in python to recognize image"
2436,I came here from coldfusion and singular prosperity
2437,You are one of the best YouTubers imo. Always love learning something new about math
2438,The best video of Neural Networks that I've watched. Love this channel!
2439,This is a great series! Thank you! I'm finally starting to get an understanding of what these things are and how they work!
2440,I feel DUMB
2441,"Thank God for this video. From the past few month all i am watching is pop culture related, brain deadening mush. This was detoxifying."
2442,As soon as he got to 14 minutes. ...my brain crushed
2443,My brain hurts
2444,Awesome explanation :)
2445,Love you!
2446,中文字幕好评。
2447,wa
2448,Nice work!
2449,"Thanks for the video. A pattern I have experienced with video recommendations is to find some channel, watch a bunch of videos on it, get recommended every video some channel puts out in the following period, then subscribe and see basically no more recommendations from that channel until I actively seek it out."
2450,How do we able to transfer neurons from brain to computer?Is there any device or any machine which could do that or is it still under process?
2451,"Afaik, sigmoid is perfectly fine and is even desirable in the output layer for a two-class classification problem or a regression problem with outputs from 0 to 1. Relu could instead give outputs larger than 1."
2452,Surely not many people fully under this complicated things. Even i learnt ai subject in university more than a decade ago it didn't fully clear up my mind at that time. Your video is very good by presenting it with an example of pattern learning of a letter and also proceeding to matrix representation.
2453,"Wait, why does the final layer of neurons even need a bias?"
2454,Can a neural network be used for for time series prediction?
2455,What.
2456,This is an amazing lecture! Thank you soooooo much!!!! Please give us more:)
2457,"Damn that was beautiful! Perfectly explained, what I feel is an extremely complicated idea,  in such a clear and concise way. Wow. Thanks a lot!"
2458,The characters that you use are so irrational
2459,Programs like this are what make all of the lame videos worth it. Thank you for jarring a few grey matter cells into gear. I want my children (who are great at math) to understand math the way you do. I sincerely appreciate you time and effort in making this video and all of the other you have made.
2460,"Or you could do it the easy way and give a computer a bunch images of each number, then tell the computer what numbers those images equal, then the computer would use data from those images,  so when you feed that computer an image of a number, the computer would use the data it was given to see what number it is. Its called image recognition."
2461,자막이 왜 나오다 마냥 ㅠㅠㅠㅠ
2462,누가 자막좀..
2463,"Amazing you are!! Just awesome .. one request can you make some videos on expectation maximization algorithm , maximum likelihood , viterbi algorithm.. three concepts that I find are key to AI revolution.."
2464,"did he just say litt up?? :D Am i watching suits?? :D by the way, best channel ever :)"
2465,thank you thank you thank you
2466,AWESOME!
2467,Perfect video....Thank u so much....
2468,I do not understand why are negative for Weight?
2469,why start out with 784 though?  I don't get it?
2470,"Well, Sigmoid or not, it all depends upon the type of data you elaborate, and which network type you feed. The Sigmoid function represents roughly quantum bits, roughly, because it is extremely imprecise compared to qbits. However, if you are used to Sigmoid, quantum computing becomes pretty simple."
2471,"Please make a video on stack auto encoder,denoising,variable auto encoders"
2472,Looks like a sideways omega to me
2473,Awesome man..! It helped a lot. Thanks for this.
2474,"AI is some sort of dark magic and if you don't do the rain dance in reverse before you run your code, it won't work, at all."
2475,thank you so much! this helped me so much with my lecture!!
2476,What they teach in school about NN is not how the brain works. A blank NN does nothing. A blank brain learns.
2477,"After admiring moon for a really long time...I now feel, ""I just safely landed in Moon"". Simply brilliant!!!"
2478,"Parabéns, Excelente vídeo, apresenta de forma muito simples e clara. Great explanation"
2479,"This is the first time I see an educational video which actually made me feel I did learn the subject beyond ""general knowledge contest"" level. Before this, experience had shown me to disregard youtube as a meaningful learning resource. I feel encouraged to dig deeper on the subject!"
2480,You are amazing.
2481,but this neural network doesnt recognize a seven if its written more to the left or to the right. How do you deal with that?
2482,even ろ is recognized as a 3 BUT IT ISN'T!!!   its ro in japanese FUCKTARDS LUL
2483,😍😍
2484,Such an amazing video!! <3
2485,تحيا مصر 😢
2486,Best explanation ever....
2487,Thank you! This video is so nicely done - so easy to understand such a complicated (as I previously thought) concept.
2488,Thank You!! Stéph.
2489,"what are u ? computer science prog, mathematician, phy.. hahaha liked"
2490,Best intuitive explanation of the subject I've ever seen on the net
2491,Learnt a new word today: 11:17
2492,"Thank you, your explanations are easy to understand and the content is well organized. 
Btw this little Pi’s are very cute"
2493,You sir are amazing.
2494,Good job !! Thanks
2495,Too deep for me.
2496,This neural network  is also used as NLPCA's algorithms!!! But thr structure is quite a little bit different!!!
2497,Amazing video
2498,thanks  for enrolling me .
2499,"More Machine Learning videos, please."
2500,"📂Documents
  └📁Videos
      └📁 3Blue1Brown
          └📁 Bad Videos
              └📁 囧rz"
2501,Amazing vedio
2502,"Hi, great video and well explained! Just a quick question, that may be picked up in later videos, but about neurons. You state that neurons hold a value, between 0 and 1. However, I was under the impression that neurons either fire (1) or do not (0). Could you please explain how a given neuron can take different values? Thanks"
2503,"sir, pls load more videos"
2504,"great video with great explanation of everything 
reeaaaaallllllyyyyy good work"
2505,"Great video and excellent explanations! Minor point: in the matrix notation should the vector of biases [b_0 ... b_n] read [b_0 ... b_k] since the inputs size is n and the number of ""neurons"" are not the same?"
2506,That's a very good video explaining a complicated topic. thanks for that
2507,12:40 a good visual representation of me trying to get skyrim mods to work together
2508,Wonderful video!! Thank you so much!
2509,"I didn't understand one thing , how the equation of the weights times neoron-index came with 16 different number (in the hidden layer) while it's the same weights every time ??"
2510,"you're genius , I would never stand it better even I have no background <3 big thank"
2511,"Awesome, it was tremendously informative!"
2512,R  E  S  P  E  C  T
2513,awesome awesome by far the best video on this topic
2514,"Perfect! One approach to understand and improve deep neural net is to use visualization. Features: design during training, exploration and debugging with instances and subsets, development with dataflow graphs."
2515,Нихуя не понятно) но интересно)
2516,Thank you so much. This was really helpful
2517,Subscribed... do your thing neural net.
2518,"The fact that there are 13,002 possible connections and an even larger number of possible configurations is pretty awesome, especially considering that this is a fairly small network designed for a very simple task. Makes me wonder about how my own brain can function so intuitively. The average human brain contains about _a hundred _*_billion_* neurons, all of which are connected to one another with their dendrites and axons acting as input/output, respectively, passing electrochemical signals to one another through nothing but highly complex yet unusually organised organic chemistry. And what is really rather remarkable about all this is that I am able to describe my own cognition as it occurs, albeit in high-level terms that say nothing about exactly which neuron is doing what.

How it is that I can replicate a much-simplified version of this on my computer is still blows my mind every time I think about it,"
2519,"This is an incredible video, I've been studying Deep Learning and Neural Networks for six months and by far this is the best explanation on Deep Learning and Neural Networks that I've seen so far. Thank you"
2520,Very high quality indeed
2521,This is how you teach any rocket science like cake walk !!
2522,"One question to ask is why have 10 output neurons? One neuron would be adequate - it would be trained to have a value of 0 through 9 (as a floating point number). Perhaps a second output neuron could give a measure of confidence that the answer is accurate.

If MLP networks are trying to replicate the workings of a brain, then it does seem unlikely that the brain has a dedicated neuron that fires when, say, an image of a 3 is seen by the eye. Of course it's equally unlikely that there's a single neuron dedicated to firing when any number is presented to the brain.

Experiments with MLP networks have convinced me that often more neurons (particularly hidden layer neurons) make detection less reliable. This seems particularly true when the input data set is fully known (I.E. the input image is known to be one of a large but finite set of images). 

Another noticeable feature is that the value of the weights in the network is wholly dependent on the initial values (usually randomly assigned) before training. Null out the previous trained network value and retrain with a different set of random initial conditions and the compare the weight values with the previous network. They will be completely different."
2523,"At 14:37, bias matrix will end with b_k instead of b_n"
2524,This is an incredible series. Thank you so much
2525,This is the best video i ever watched.
2526,"That's pretty much the way you learn japanese Kanji. For an untrained eye, they look like a bunch of random strokes, but they're made up of smaller components called radicals. So when seeing a Kanji, your brain recognizes the subelements and their placement to link that information to a certain reading and meaning you've connected it to when learning it. They become distinctive enough that you can store information on thousands of Kanji with several readings for each, forming various meanings depending on their combination, while being able to identify several of them per second while reading."
